,temperature
2020-10-21 04:06:09+00:00,-21.1
2020-10-21 04:16:09+00:00,-19.2
2020-10-21 04:26:09+00:00,-16.9
2020-10-21 04:36:09+00:00,-14.6
2020-10-21 04:46:09+00:00,-13.3
2020-10-21 04:56:09+00:00,-17.1
2020-10-21 05:06:08+00:00,-18.1
2020-10-21 05:16:08+00:00,-18.9
2020-10-21 05:26:08+00:00,-19.5
2020-10-21 05:36:08+00:00,-19.9
2020-10-21 05:46:08+00:00,-20.2
2020-10-21 05:56:08+00:00,-20.6
2020-10-21 06:06:08+00:00,-20.8
2020-10-21 06:16:08+00:00,-20.9
2020-10-21 06:26:08+00:00,-21.2
2020-10-21 06:36:08+00:00,-21.3
2020-10-21 06:46:08+00:00,-21.5
2020-10-21 06:56:08+00:00,-21.5
2020-10-21 07:06:09+00:00,-21.3
2020-10-21 07:16:09+00:00,-21.5
2020-10-21 07:26:09+00:00,-21.0
2020-10-21 07:36:09+00:00,-20.9
2020-10-21 07:46:09+00:00,-20.9
2020-10-21 07:56:09+00:00,-20.9
2020-10-21 08:06:09+00:00,-21.0
2020-10-21 08:16:08+00:00,-21.2
2020-10-21 08:26:08+00:00,-21.3
2020-10-21 08:36:08+00:00,-21.3
2020-10-21 08:46:08+00:00,-21.2
2020-10-21 08:56:08+00:00,-21.0
2020-10-21 09:06:08+00:00,-21.0
2020-10-21 09:16:09+00:00,-20.8
2020-10-21 09:26:09+00:00,-20.8
2020-10-21 09:36:09+00:00,-21.1
2020-10-21 09:46:09+00:00,-21.3
2020-10-21 09:56:09+00:00,-21.3
2020-10-21 10:06:09+00:00,-20.4
2020-10-21 10:16:09+00:00,-18.7
2020-10-21 10:26:08+00:00,-16.5
2020-10-21 10:36:08+00:00,-14.1
2020-10-21 10:46:08+00:00,-13.1
2020-10-21 10:56:08+00:00,-16.8
2020-10-21 11:06:08+00:00,-18.3
2020-10-21 11:16:08+00:00,-19.6
2020-10-21 11:26:08+00:00,-20.0
2020-10-21 11:36:08+00:00,-20.0
2020-10-21 11:46:08+00:00,-20.3
2020-10-21 11:56:08+00:00,-20.6
2020-10-21 12:06:08+00:00,-20.7
2020-10-21 12:16:09+00:00,-20.8
2020-10-21 12:26:09+00:00,-19.5
2020-10-21 12:36:09+00:00,-20.9
2020-10-21 12:46:09+00:00,-21.0
2020-10-21 12:56:09+00:00,-21.1
2020-10-21 13:06:09+00:00,-21.0
2020-10-21 13:16:08+00:00,-21.2
2020-10-21 13:26:08+00:00,-21.0
2020-10-21 13:36:08+00:00,-20.9
2020-10-21 13:46:08+00:00,-20.7
2020-10-21 13:56:08+00:00,-20.9
2020-10-21 14:06:08+00:00,-20.7
2020-10-21 14:16:09+00:00,-20.7
2020-10-21 14:26:09+00:00,-20.8
2020-10-21 14:36:09+00:00,-20.9
2020-10-21 14:46:09+00:00,-20.9
2020-10-21 14:56:09+00:00,-21.2
2020-10-21 15:06:09+00:00,-21.1
2020-10-21 15:16:09+00:00,-21.0
2020-10-21 15:26:09+00:00,-21.0
2020-10-21 15:36:09+00:00,-20.9
2020-10-21 15:46:09+00:00,-20.4
2020-10-21 15:56:09+00:00,-20.7
2020-10-21 16:06:09+00:00,-20.5
2020-10-21 16:16:08+00:00,-18.9
2020-10-21 16:26:08+00:00,-16.5
2020-10-21 16:36:08+00:00,-14.3
2020-10-21 16:46:08+00:00,-13.2
2020-10-21 16:56:08+00:00,-16.9
2020-10-21 17:06:08+00:00,-18.0
2020-10-21 17:16:09+00:00,-18.8
2020-10-21 17:26:09+00:00,-19.4
2020-10-21 17:36:09+00:00,-19.8
2020-10-21 17:46:09+00:00,-20.2
2020-10-21 17:56:09+00:00,-20.4
2020-10-21 18:06:09+00:00,-20.7
2020-10-21 18:16:08+00:00,-20.9
2020-10-21 18:26:08+00:00,-21.1
2020-10-21 18:36:08+00:00,-21.2
2020-10-21 18:46:08+00:00,-21.5
2020-10-21 18:56:08+00:00,-21.5
2020-10-21 19:06:08+00:00,-21.7
2020-10-21 19:16:09+00:00,-20.8
2020-10-21 19:26:09+00:00,-21.4
2020-10-21 19:36:09+00:00,-21.0
2020-10-21 19:46:09+00:00,-20.9
2020-10-21 19:56:09+00:00,-21.1
2020-10-21 20:06:09+00:00,-21.3
2020-10-21 20:16:09+00:00,-21.5
2020-10-21 20:26:09+00:00,-21.4
2020-10-21 20:36:09+00:00,-21.4
2020-10-21 20:46:09+00:00,-21.2
2020-10-21 20:56:09+00:00,-21.1
2020-10-21 21:06:09+00:00,-21.0
2020-10-21 21:16:08+00:00,-21.1
2020-10-21 21:26:08+00:00,-21.3
2020-10-21 21:36:08+00:00,-21.4
2020-10-21 21:46:08+00:00,-21.5
2020-10-21 21:56:08+00:00,-21.6
2020-10-21 22:06:08+00:00,-20.4
2020-10-21 22:16:09+00:00,-18.5
2020-10-21 22:26:09+00:00,-16.2
2020-10-21 22:36:09+00:00,-13.8
2020-10-21 22:46:09+00:00,-12.9
2020-10-21 22:56:09+00:00,-16.7
2020-10-21 23:06:09+00:00,-18.1
2020-10-21 23:16:09+00:00,-19.4
2020-10-21 23:26:09+00:00,-20.3
2020-10-21 23:36:08+00:00,-20.6
2020-10-21 23:46:08+00:00,-20.9
2020-10-21 23:56:08+00:00,-20.9
