,temperature
2020-10-21 04:05:53+00:00,-21.3
2020-10-21 04:15:53+00:00,-22.3
2020-10-21 04:25:53+00:00,-23.2
2020-10-21 04:35:53+00:00,-23.8
2020-10-21 04:45:53+00:00,-24.3
2020-10-21 04:55:53+00:00,-24.8
2020-10-21 05:05:53+00:00,-25.2
2020-10-21 05:15:53+00:00,-25.6
2020-10-21 05:25:53+00:00,-25.9
2020-10-21 05:35:53+00:00,-26.2
2020-10-21 05:45:53+00:00,-26.4
2020-10-21 05:55:53+00:00,-26.5
2020-10-21 06:05:53+00:00,-26.7
2020-10-21 06:15:53+00:00,-27.0
2020-10-21 06:25:53+00:00,-27.1
2020-10-21 06:35:53+00:00,-27.2
2020-10-21 06:45:53+00:00,-27.4
2020-10-21 06:55:53+00:00,-27.5
2020-10-21 07:05:54+00:00,-27.6
2020-10-21 07:15:54+00:00,-27.6
2020-10-21 07:25:53+00:00,-27.9
2020-10-21 07:35:53+00:00,-28.0
2020-10-21 07:45:53+00:00,-28.2
2020-10-21 07:55:53+00:00,-28.3
2020-10-21 08:05:53+00:00,-24.3
2020-10-21 08:15:53+00:00,-16.6
2020-10-21 08:25:53+00:00,-10.4
2020-10-21 08:35:53+00:00,-6.4
2020-10-21 08:45:53+00:00,-13.8
2020-10-21 08:55:53+00:00,-20.8
2020-10-21 09:05:54+00:00,-22.6
2020-10-21 09:15:54+00:00,-24.0
2020-10-21 09:25:54+00:00,-24.9
2020-10-21 09:35:54+00:00,-25.6
2020-10-21 09:45:54+00:00,-26.1
2020-10-21 09:55:54+00:00,-26.5
2020-10-21 10:05:54+00:00,-26.8
2020-10-21 10:15:54+00:00,-27.1
2020-10-21 10:25:54+00:00,-27.3
2020-10-21 10:35:54+00:00,-27.5
2020-10-21 10:45:54+00:00,-27.8
2020-10-21 10:55:54+00:00,-28.0
2020-10-21 11:05:54+00:00,-28.1
2020-10-21 11:15:54+00:00,-28.3
2020-10-21 11:25:54+00:00,-28.5
2020-10-21 11:35:54+00:00,-28.7
2020-10-21 11:45:54+00:00,-28.9
2020-10-21 11:55:54+00:00,-28.9
2020-10-21 12:27:06+00:00,-29.3
2020-10-21 12:37:06+00:00,-29.4
2020-10-21 12:47:06+00:00,-29.4
2020-10-21 12:57:06+00:00,-29.5
2020-10-21 13:07:06+00:00,-29.6
2020-10-21 13:17:06+00:00,-29.7
2020-10-21 13:27:06+00:00,-29.7
2020-10-21 13:37:06+00:00,-29.8
2020-10-21 13:47:06+00:00,-29.9
2020-10-21 13:57:06+00:00,-29.9
2020-10-21 14:07:06+00:00,-27.4
2020-10-21 14:17:06+00:00,-29.0
2020-10-21 14:27:06+00:00,-29.5
2020-10-21 14:37:06+00:00,-29.7
2020-10-21 14:47:06+00:00,-29.8
2020-10-21 14:57:06+00:00,-29.9
2020-10-21 15:07:06+00:00,-29.9
2020-10-21 15:17:06+00:00,-30.1
2020-10-21 15:27:06+00:00,-30.1
2020-10-21 15:37:06+00:00,-30.2
2020-10-21 15:47:06+00:00,-30.3
2020-10-21 15:57:06+00:00,-30.4
2020-10-21 16:07:06+00:00,-30.2
2020-10-21 16:17:06+00:00,-30.3
2020-10-21 16:17:07+00:00,-30.3
2020-10-21 16:27:06+00:00,-30.4
2020-10-21 16:37:06+00:00,-30.4
2020-10-21 16:47:06+00:00,-30.5
2020-10-21 16:57:06+00:00,-30.6
2020-10-21 17:07:06+00:00,-30.6
2020-10-21 17:17:06+00:00,-30.7
2020-10-21 17:27:06+00:00,-30.6
2020-10-21 17:37:06+00:00,-30.7
2020-10-21 17:47:06+00:00,-30.7
2020-10-21 17:57:06+00:00,-30.8
2020-10-21 18:07:06+00:00,-30.8
2020-10-21 18:17:06+00:00,-30.8
2020-10-21 18:27:06+00:00,-30.8
2020-10-21 18:37:06+00:00,-30.9
2020-10-21 18:47:06+00:00,-30.9
2020-10-21 18:57:06+00:00,-30.8
2020-10-21 19:07:06+00:00,-31.4
2020-10-21 19:17:06+00:00,-31.6
2020-10-21 19:27:06+00:00,-31.8
2020-10-21 19:37:06+00:00,-31.6
2020-10-21 19:47:06+00:00,-31.7
2020-10-21 19:57:06+00:00,-31.0
2020-10-21 20:07:06+00:00,-31.1
2020-10-21 20:17:06+00:00,-31.0
2020-10-21 20:27:06+00:00,-31.0
2020-10-21 20:37:06+00:00,-31.1
2020-10-21 20:47:06+00:00,-31.1
2020-10-21 20:57:06+00:00,-31.1
2020-10-21 21:07:06+00:00,-31.2
2020-10-21 21:17:06+00:00,-28.9
2020-10-21 21:27:06+00:00,-21.7
2020-10-21 21:37:06+00:00,-14.8
2020-10-21 21:47:06+00:00,-21.8
2020-10-21 21:57:06+00:00,-26.6
2020-10-21 22:07:06+00:00,-27.9
2020-10-21 22:17:06+00:00,-28.7
2020-10-21 22:27:06+00:00,-29.3
2020-10-21 22:37:06+00:00,-29.6
2020-10-21 22:47:06+00:00,-29.9
2020-10-21 22:57:06+00:00,-30.2
2020-10-21 23:07:06+00:00,-30.4
2020-10-21 23:17:06+00:00,-30.5
2020-10-21 23:27:06+00:00,-30.7
2020-10-21 23:37:06+00:00,-30.8
2020-10-21 23:47:06+00:00,-30.7
2020-10-21 23:57:06+00:00,-31.0
2020-10-22 00:07:06+00:00,-31.0
2020-10-22 00:17:06+00:00,-31.0
2020-10-22 00:27:06+00:00,-31.1
2020-10-22 00:37:07+00:00,-31.1
2020-10-22 00:47:06+00:00,-31.2
2020-10-22 00:57:06+00:00,-31.3
2020-10-22 01:07:06+00:00,-31.5
2020-10-22 01:17:06+00:00,-31.4
2020-10-22 01:27:06+00:00,-31.6
2020-10-22 01:37:06+00:00,-31.5
2020-10-22 01:47:06+00:00,-31.6
2020-10-22 01:57:06+00:00,-31.6
2020-10-22 02:07:06+00:00,-31.7
2020-10-22 02:17:06+00:00,-31.7
2020-10-22 02:27:06+00:00,-31.8
2020-10-22 02:37:06+00:00,-31.8
2020-10-22 02:47:06+00:00,-31.8
2020-10-22 02:57:06+00:00,-31.9
2020-10-22 03:07:06+00:00,-32.0
2020-10-22 03:17:06+00:00,-29.4
2020-10-22 03:27:07+00:00,-22.0
2020-10-22 03:37:07+00:00,-15.1
2020-10-22 03:47:07+00:00,-22.3
2020-10-22 03:57:07+00:00,-27.2
2020-10-22 04:07:07+00:00,-28.5
