,temperature
2020-10-21 04:04:07+00:00,-18.7
2020-10-21 04:14:08+00:00,-17.5
2020-10-21 04:24:07+00:00,-17.5
2020-10-21 04:34:07+00:00,-17.6
2020-10-21 04:44:07+00:00,-15.5
2020-10-21 04:54:07+00:00,-19.3
2020-10-21 05:04:07+00:00,-16.1
2020-10-21 05:14:07+00:00,-18.1
2020-10-21 05:24:08+00:00,-17.1
2020-10-21 05:34:07+00:00,-15.9
2020-10-21 05:54:08+00:00,-16.1
2020-10-21 06:04:08+00:00,-18.8
2020-10-21 06:14:08+00:00,-16.6
2020-10-21 06:24:08+00:00,-17.2
2020-10-21 06:34:08+00:00,-17.9
2020-10-21 06:44:08+00:00,-16.0
2020-10-21 06:54:08+00:00,-13.6
2020-10-21 07:04:08+00:00,-11.0
2020-10-21 07:14:08+00:00,-8.4
2020-10-21 07:24:08+00:00,-13.6
2020-10-21 07:34:08+00:00,-16.6
2020-10-21 07:44:07+00:00,-18.5
2020-10-21 08:04:07+00:00,-20.7
2020-10-21 08:14:07+00:00,-17.9
2020-10-21 08:24:07+00:00,-16.0
2020-10-21 08:34:08+00:00,-19.6
2020-10-21 08:44:08+00:00,-16.2
2020-10-21 08:54:08+00:00,-18.7
2020-10-21 09:04:08+00:00,-17.2
2020-10-21 09:14:08+00:00,-16.7
2020-10-21 09:24:08+00:00,-18.5
2020-10-21 09:34:08+00:00,-15.9
2020-10-21 09:44:08+00:00,-18.7
2020-10-21 09:54:08+00:00,-16.5
2020-10-21 10:04:08+00:00,-17.3
2020-10-21 10:24:08+00:00,-15.5
2020-10-21 10:34:08+00:00,-18.9
2020-10-21 10:44:08+00:00,-15.9
2020-10-21 10:54:08+00:00,-18.5
2020-10-21 11:04:08+00:00,-16.6
2020-10-21 11:14:07+00:00,-16.9
2020-10-21 11:24:07+00:00,-17.6
2020-10-21 11:34:07+00:00,-15.5
2020-10-21 11:44:07+00:00,-19.2
2020-10-21 11:54:07+00:00,-16.0
2020-10-21 12:04:08+00:00,-17.5
2020-10-21 12:14:07+00:00,-17.4
2020-10-21 12:24:07+00:00,-15.5
2020-10-21 12:34:07+00:00,-19.2
2020-10-21 12:44:08+00:00,-16.4
2020-10-21 12:54:07+00:00,-14.1
2020-10-21 13:04:07+00:00,-11.6
2020-10-21 13:14:07+00:00,-9.0
