,temperature
2020-10-21 04:02:00+00:00,-19.9
2020-10-21 04:12:00+00:00,-19.0
2020-10-21 04:22:00+00:00,-18.9
2020-10-21 04:32:00+00:00,-19.6
2020-10-21 04:42:00+00:00,-20.5
2020-10-21 04:52:00+00:00,-21.4
2020-10-21 05:02:00+00:00,-22.3
2020-10-21 05:12:00+00:00,-22.5
2020-10-21 05:22:00+00:00,-21.6
2020-10-21 05:32:00+00:00,-20.2
2020-10-21 05:42:00+00:00,-18.9
2020-10-21 05:52:00+00:00,-19.0
2020-10-21 06:02:00+00:00,-19.9
2020-10-21 06:12:00+00:00,-20.9
2020-10-21 06:22:00+00:00,-21.9
2020-10-21 06:32:00+00:00,-22.5
2020-10-21 06:42:00+00:00,-21.8
2020-10-21 06:52:00+00:00,-20.2
2020-10-21 07:02:00+00:00,-18.9
2020-10-21 07:12:00+00:00,-19.2
2020-10-21 07:22:00+00:00,-20.1
2020-10-21 07:32:00+00:00,-21.3
2020-10-21 07:42:00+00:00,-22.2
2020-10-21 07:52:00+00:00,-22.5
2020-10-21 08:02:00+00:00,-26.8
2020-10-21 08:12:00+00:00,-28.0
2020-10-21 08:22:00+00:00,-17.5
2020-10-21 08:32:00+00:00,-2.8
2020-10-21 08:42:00+00:00,2.5
2020-10-21 08:52:00+00:00,6.7
2020-10-21 09:02:00+00:00,8.8
2020-10-21 09:12:00+00:00,-8.1
2020-10-21 09:22:00+00:00,-14.2
2020-10-21 09:32:00+00:00,-19.2
2020-10-21 09:42:00+00:00,-17.5
2020-10-21 09:52:00+00:00,-20.6
2020-10-21 10:02:01+00:00,-21.8
2020-10-21 10:12:01+00:00,-22.1
2020-10-21 10:22:00+00:00,-12.6
2020-10-21 10:32:00+00:00,-21.0
2020-10-21 10:42:00+00:00,-21.0
2020-10-21 10:52:00+00:00,-20.1
2020-10-21 11:02:01+00:00,-18.7
2020-10-21 11:12:01+00:00,-20.2
2020-10-21 11:22:01+00:00,-22.1
2020-10-21 11:32:01+00:00,-23.3
2020-10-21 11:42:01+00:00,-22.3
2020-10-21 11:52:00+00:00,-20.6
2020-10-21 12:02:01+00:00,-18.9
2020-10-21 12:12:01+00:00,-20.0
2020-10-21 12:22:01+00:00,-13.8
2020-10-21 12:32:01+00:00,-21.2
2020-10-21 12:42:01+00:00,-21.4
2020-10-21 12:52:01+00:00,-20.7
2020-10-21 13:02:00+00:00,-19.7
2020-10-21 13:12:00+00:00,-18.7
2020-10-21 13:22:00+00:00,-18.8
2020-10-21 13:32:00+00:00,-19.5
2020-10-21 13:42:00+00:00,-20.4
2020-10-21 13:52:00+00:00,-21.1
2020-10-21 14:02:00+00:00,-21.7
